AIRPORT;APT_ICAO;APT_IATA;APT_NAME;APT_COUNTRY;ICAO_LABEL;IATA_LABEL
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU)
EDDE;EDDE;ERF;Erfurt;Germany;Erfurt (EDDE);Erfurt (ERF)
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM)
EDDK;EDDK;CGN;Cologne-Bonn;Germany;Cologne-Bonn (EDDK);Cologne-Bonn (CGN)
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ)
EDDR;EDDR;SCR;Saarbruecken;Germany;Saarbruecken (EDDR);Saarbruecken (SCR)
EDDS;EDDS;STR;Stuttgart;Germany;Stuttgart (EDDS);Stuttgart (STR)
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ)
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL)
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX)
EGGW;EGGW;LTN;London - Luton;United Kingdom;London - Luton (EGGW);London - Luton (LTN)
EGLL;EGLL;LHR;London - Heathrow;United Kingdom;London - Heathrow (EGLL);London - Heathrow (LHR)
EGPD;EGPD;ABZ;Aberdeen;United Kingdom;Aberdeen (EGPD);Aberdeen (ABZ)
EHAM;EHAM;AMS;Amsterdam - Schiphol;Netherlands;Amsterdam - Schiphol (EHAM);Amsterdam - Schiphol (AMS)
EICK;EICK;ORK;Cork;Ireland;Cork (EICK);Cork (ORK)
EIDW;EIDW;DUB;Dublin;Ireland;Dublin (EIDW);Dublin (DUB)
EPWA;EPWA;WAW;Warszawa - Chopina;Poland;Warszawa - Chopina (EPWA);Warszawa - Chopina (WAW)
ESGG;ESGG;GOT;Göteborg;Sweden;Göteborg (ESGG);Göteborg (GOT)
ESSA;ESSA;ARN;Stockholm - Arlanda;Sweden;Stockholm - Arlanda (ESSA);Stockholm - Arlanda (ARN)
GCFV;GCFV;FUE;Fuerteventura;Spain;Fuerteventura (GCFV);Fuerteventura (FUE)
GCRR;GCRR;ACE;Lanzarote;Spain;Lanzarote (GCRR);Lanzarote (ACE)
GCXO;GCXO;TFN;Tenerife North;Spain;Tenerife North (GCXO);Tenerife North (TFN)
LBSF;LBSF;SOF;Sofia;Bulgaria;Sofia (LBSF);Sofia (SOF)
LDZA;LDZA;ZAG;Zagreb;Croatia;Zagreb (LDZA);Zagreb (ZAG)
