AIRPORT;APT_ICAO;APT_IATA;APT_NAME;APT_COUNTRY;ICAO_LABEL;IATA_LABEL;YEAR;MONTH_NUM;NB_NM_DEP;NB_NM_ARR;NB_NM_TOT;NB_DLY_DEP_FL;DLY_89_MIN;DLY_999_MIN;DLY_ZZZ_MIN;DLY_OTHER_MIN;UN_RPTED_DLY_MIN;OV_RPTED_DLY_MIN;NB_TAXI_OUT_FL;TAXI_OUT_REF_TIME_MIN;ADD_TAXI_OUT_TIME_MIN;NB_ASMA_FL;ASMA_REF_TIME_MIN;ADD_ASMA_TIME_MIN;NB_TAXI_IN_FL;TAXI_IN_REF_TIME_MIN;ADD_TAXI_IN_TIME_MIN
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;1;8323;8316;16639;8419;3236;0;45347;52984;1778;-800;8022;68050,5;17852,5;8096;99515,6833333333;9836,33333333333;8466;31223;6698
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;2;8484;8489;16973;8598;3928;0;43472;44939;1732;-474;8028;70177,5551839465;16123;8146;101351,35;11851,2833333333;8618;33245,4;6911,6
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;3;6703;6668;13371;6830;5398;0;49719;55398;2582;-742;6099;54993;16525;6046;77141,6416666667;8639,50833333333;6836;24860,8;6661,2
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;4;5951;5990;11941;6040;2794;0;30877;49537;1735;-881;5494;48367,088;10586,5;5578;69770,8916666667;3739,375;6079;19051;4555
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;5;10099;10111;20210;10243;4254;0;63433;104020;2398;-565;9113;82391,0404411765;19687,5;9408;120970,133333333;7751,05;10268;39456,6;9276,4
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;6;10221;10219;20440;10359;2869;0;74973;142893;6448;-589;9748;83205,0685714286;22243,5;9885;121983,45;8731,28333333333;10371;41133,8;9674,2
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;7;10655;10641;21296;10760;3193;0;73965;126336;7328;-6441;10260;86979,5;19624,5;10420;129082,25;7407,16666666667;10785;42348,8;8454,2
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;8;10304;10316;20620;10380;3297;0;47608;82630;3781;-627;9818;85939,5;14743,5;9970;125979,5;8169,91666666667;10397;41963,4;7949,6
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;9;10553;10535;21088;10671;4922;0;54370;74429;3040;-1426;10107;86472;20251;10288;127370,9;6464,6;10717;41600,2;8215,8
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;10;10042;10038;20080;10172;5035;0;57395;82442;3074;-396;9233;83485,5;19321,5;9514;120809,825;9779,79166666667;10194;39035,6;8903,4
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;11;8965;8982;17947;9056;4162;0;38022;61405;2539;-426;8314;73670,0744454553;15558,5;8512;106661,108333333;10313,925;9086;36383;7083
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;12;8757;8758;17515;8817;4173;0;34671;90359;5289;-996;8299;71772,5078616352;16843;8476;104025,516666667;8212,2;8838;33028;7564
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;1;8480;8476;16956;8590;4645;0;19179;100900;6339;-1203;7954;70558,5;17717,5;7936;99908,975;10445,075;8586;33653,4;6817,6
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;2;8106;8099;16205;8193;4668;0;18121;65162;3385;-927;7586;66855;14598;7713;96271,525;9083,84166666667;8225;32130;5661
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;3;9513;9518;19031;9612;4626;0;25590;73272;4498;-1590;8910;77765;16990;9024;112116,95;10241,5;9649;37421,8;6833,2
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;4;9584;9590;19174;9654;6537;0;21307;88592;5277;-1723;9007;77958,5497368348;17205;9259;115143,883333333;9521,56666666667;9681;37629,4;7123,6
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;5;10621;10641;21262;10731;8569;0;24329;112723;5230;-1092;9715;86454;21976;10086;127258,75;12482,9;10763;40620,8;8496,2
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;6;10523;10505;21028;10618;7374;0;25381;151478;8963;-1839;9636;83666;18080;10153;127202,516666667;8500,93333333333;10615;39926;9084
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;7;10899;10909;21808;10995;6301;0;19424;184861;7936;-4098;10084;86861,5;19259,5;10577;131828,1;7923,06666666667;11020;41233,6;9236,4
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;8;10530;10516;21046;10589;4494;0;15777;169292;7194;-3101;9599;81295,1209150327;15567,5;10322;128131,633333333;6429,66666666667;10597;41038,2;8608,8
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;9;10564;10579;21143;10651;6701;0;22371;148623;8839;-1277;9693;82142,5;19562,5;10288;127075,666666667;10116,9;10679;41600,4;8960,6
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;10;10293;10269;20562;10373;6798;0;26518;127740;6246;-2815;9388;77648,5;17111,5;10069;123594,658333333;12100,2583333333;10384;41542,4;8045,6
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;11;8972;8985;17957;9078;6157;0;22635;84692;5297;-1071;8907;76014,5;17362,5;8726;106390,491666667;8875,14166666667;9092;36504;6472
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;12;8269;8278;16547;8345;6811;0;28047;153013;14200;-2251;8145;70204,5833333333;17149;7871;96905;11816,9166666667;8367;34506,6;6503,4
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;1;8301;8300;16601;8406;6054;0;20636;89706;5023;-1279;8239;71641;15441;7983;98645,825;11405,0083333333;8427;33658,8;5633,2
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;2;8002;8002;16004;8096;8081;0;18956;96782;5861;-2082;7573;68646;20636;7369;94218,3;12056,3666666667;8120;30878,4;6308,6
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;3;9169;9184;18353;9273;7848;0;25091;135038;7051;-1030;8622;75304,5;22149,5;8303;105289,375;10530,9916666667;9291;37858,6;7911,4
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;4;9727;9730;19457;9809;8503;0;17502;112310;7554;-1535;9607;82976;22416;9264;115234,675;5736,10833333333;9826;38631,6;8856,4
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;5;10203;10215;20418;10299;8370;0;24062;179794;8920;-3024;9885;87543,5;26129,5;9661;122466,641666667;5215,475;10324;38914,8;9293,2
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;6;10258;10262;20520;10357;6700;0;26276;192467;10696;-2049;9904;88229;27589;9748;123474,941666667;8304,74166666667;10388;37627,4;8944,6
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;7;10967;10964;21931;11054;11272;0;28388;249818;12077;-4029;10734;94276;25017;10523;131886,533333333;4946,61666666667;11073;41199,2;10310,8
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;8;10542;10535;21077;10619;6440;0;17438;180180;8159;-2152;10331;88455;22504;10292;126979,966666667;4796,55;10619;39882,8;7925,2
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;9;10407;10407;20814;10510;6973;0;19558;147595;7329;-2293;10245;88104,5;21663,5;10085;124915,291666667;8418,875;10545;39618,2;8605,8
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;10;9748;9769;19517;9877;7402;0;26095;114310;6502;-1267;9451;81922,0276162791;23286,5;9368;116266,691666667;7196,64166666667;9897;37705,4;8438,6
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;11;9112;9105;18217;9229;7598;0;25132;102676;7328;-1992;8809;76413;20236;8157;103636,908333333;8514,79166666667;9248;37048;7280
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;12;8525;8523;17048;8611;9740;0;19593;137299;9745;-5636;8370;72147,5;16949,5;8155;101130,358333333;10218,1916666667;8617;33902;6588
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;1;8384;8375;16759;8498;8467;0;17110;102271;6010;-3847;8318;71108;20954;8128;99705,125;7773,10833333333;8499;34098,2;6591,8
