AIRPORT;APT_ICAO;APT_IATA;APT_NAME;APT_COUNTRY;ICAO_LABEL;IATA_LABEL;YEAR;MONTH_NUM;AC_CLASS;NB_TURN_ARROUND;TOT_SDTT_MIN;TOT_ACTT_MIN;TOT_ADTT_MIN
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;1;MT;237;14830;15589;759
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;1;MJ;4838;253020;274768;21748
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;1;H;585;75190;81188;5998
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;2;MJ;5173;270071;297367;27296
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;2;H;568;73327;79672;6345
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;2;MT;256;15576;16526;950
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;3;MT;189;11745;12872;1127
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;3;MJ;3862;201791;226971;25180
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;3;H;479;61915;66247;4332
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;4;H;361;48756;50202;1446
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;4;MJ;3226;181343;205029;23686
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;4;MT;113;5945;7040;1095
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;5;MJ;6027;329271;373758;44487
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;5;MT;201;11731;13337;1606
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;5;H;481;67252;69948;2696
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;6;MT;184;10454;12282;1828
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;6;MJ;6041;322557;375973;53416
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;6;H;484;65792;70620;4828
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;7;MJ;6470;349885;407508;57623
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;7;H;534;72095;78119;6024
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;7;MT;213;11419;13316;1897
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;8;H;546;74377;79228;4851
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;8;MT;167;9625;10493;868
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;8;MJ;6279;350556;383406;32850
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;9;H;511;70320;76979;6659
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;9;MJ;6522;348199;395718;47519
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;9;MT;227;12128;14229;2101
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;10;MJ;6116;325723;363144;37421
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;10;MT;237;12699;14994;2295
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;10;H;489;67025;71592;4567
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;11;MT;246;14925;16278;1353
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;11;MJ;5411;283588;312890;29302
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;11;H;481;61009;65249;4240
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;12;H;474;59457;62440;2983
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;12;MJ;5162;269605;308606;39001
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;12;MT;219;12765;14385;1620
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;1;MT;220;12955;14411;1456
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;1;MJ;4873;253119;279861;26742
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;1;H;501;66330;71045;4715
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;2;MT;225;13630;15478;1848
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;2;H;437;56201;59840;3639
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;2;MJ;4835;252374;285711;33337
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;3;MJ;5717;299183;336698;37515
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;3;MT;233;12823;14560;1737
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;3;H;529;68174;70053;1879
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;4;MJ;5857;313345;351686;38341
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;4;MT;210;11329;13201;1872
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;4;H;517;72490;75606;3116
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;5;MJ;6565;347392;394828;47436
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;5;H;573;78669;80814;2145
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;5;MT;234;12545;14549;2004
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;6;MT;227;11919;13769;1850
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;6;MJ;6477;344873;400516;55643
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;6;H;530;72826;78395;5569
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;7;MJ;6750;364746;429680;64934
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;7;H;594;79140;86335;7195
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;7;MT;213;11214;12978;1764
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;8;H;611;81125;89185;8060
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;8;MT;183;9306;10607;1301
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;8;MJ;6428;351178;401807;50629
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;9;H;586;79377;87050;7673
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;9;MJ;6659;357113;404193;47080
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;9;MT;201;10382;11857;1475
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;10;MT;221;11625;12989;1364
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;10;MJ;6400;338879;382016;43137
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;10;H;587;78457;85869;7412
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;11;H;612;73965;81127;7162
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;11;MJ;5467;294571;331495;36924
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;11;MT;78;4268;4934;666
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;12;MT;79;3545;4399;854
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;12;MJ;4659;249491;287905;38414
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;12;H;604;72482;80097;7615
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;1;MT;84;4509;4988;479
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;1;H;606;72627;79779;7152
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;1;MJ;4802;254103;286233;32130
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;2;H;534;63965;69981;6016
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;2;MJ;4837;258385;292823;34438
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;2;MT;83;4420;4984;564
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;3;H;637;77312;83989;6677
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;3;MJ;5536;295935;341586;45651
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;3;MT;87;4121;4908;787
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;4;MJ;6108;327835;382491;54656
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;4;MT;97;3940;5339;1399
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;4;H;596;77387;85353;7966
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;5;MT;81;3445;4564;1119
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;5;MJ;6216;333897;398967;65070
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;5;H;611;77960;87249;9289
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;6;H;589;75543;83431;7888
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;6;MJ;6188;335217;395942;60725
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;6;MT;87;3694;4756;1062
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;7;MT;92;3973;5486;1513
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;7;MJ;6471;350593;430685;80092
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;7;H;653;81973;92865;10892
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;8;MT;73;3509;4277;768
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;8;H;651;80664;90920;10256
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;8;MJ;6304;345555;402295;56740
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;9;MJ;6407;343973;393633;49660
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;9;MT;80;3428;4239;811
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;9;H;613;76165;85103;8938
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;10;MT;92;4116;5255;1139
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;10;MJ;5998;323923;373075;49152
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;10;H;604;74045;84373;10328
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;11;MJ;5470;291189;338317;47128
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;11;H;688;84132;93610;9478
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;11;MT;113;4905;6093;1188
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;12;MT;109;5102;6203;1101
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;12;H;655;78289;85176;6887
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;12;MJ;4908;261667;303975;42308
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;1;MJ;4793;252525;288060;35535
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;1;H;667;80569;86355;5786
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;1;MT;128;6150;7368;1218
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;2;MJ;4620;244253;285211;40958
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;2;MT;104;4785;5917;1132
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;2;H;585;69935;74041;4106
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;3;MJ;5365;281875;329980;48105
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;3;H;693;81956;91724;9768
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;3;MT;112;5082;6084;1002
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;4;MT;99;4400;5786;1386
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;4;MJ;6043;319614;367350;47736
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;4;H;604;76576;82376;5800
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;5;MT;90;3799;5369;1570
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;5;MJ;6301;334760;388283;53523
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;5;H;618;77899;82602;4703
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;6;MT;79;3361;4933;1572
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;6;H;652;79109;86143;7034
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;6;MJ;6171;328371;393453;65082
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;7;MT;91;3962;5206;1244
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;7;H;683;83300;93141;9841
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;7;MJ;6775;358118,95;439275;81156,05
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;8;MJ;6595;354269,98;415737;61467,02
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;8;H;695;85260;94780;9520
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;8;MT;59;2465;3307;842
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;9;MJ;6630;348981;406643;57662
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;9;MT;78;3451;4306;855
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;9;H;640;78869;87428;8559
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;10;MT;97;4504;5572;1068
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;10;MJ;6236;327162;376960;49798
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;10;H;690;83219;91144;7925
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;11;H;727;84090;93811;9721
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;11;MJ;5424;286215;335660;49445
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;11;MT;99;5270;6485;1215
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;12;H;691;79003;86134;7131
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;12;MJ;5132;269885;319765;49880
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;12;MT;82;4492;5379;887
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;1;MJ;4863;255856;289066;33210
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;1;H;662;74688;79963;5275
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;1;MT;101;5638;6378;740
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;2;MJ;4919;258878;296905;38027
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;2;H;611;67767;75661;7894
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;2;MT;87;5055;5352;297
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;3;MT;74;4292;5046;754
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;3;MJ;2831;145370;170779;25409
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;3;H;593;67935;75660;7725
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;4;MJ;262;14298;17154;2856
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;4;MT;7;250;348;98
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;4;H;349;39698;44595;4897
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;5;MJ;298;15363;18395;3032
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;5;H;415;49740;52679;2939
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;5;MT;4;151;216;65
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;6;;;;;
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2016;1;MJ;1061;40447;44257;3810
